open youtube,0
open youtube for me,0
can you open youtube for me,0
i want to visit youtube,0
can you open youtube for me right now,0
i want youtube ,0
open music,1
play music,1
can you play music for me,1
"i am bored, can you play a song for me",1
what is the weather today?,2
what the day will be,2
how wil be the day ,2
tell me about the weather,2
hey how is the weather,2
what is the weather today,2
tell me about the day,2
how is  the weather,2
how is  the weather,2
is there will be rain today!,2
can i go outside today or is there will be rain? ,2
open google,3
open google for me,3
google open,3
can you open browser for me,3
open a browser for me,3
i want to search something,3
i need a browser,3
i need to browse something,3
can you open google for me,3
i want a browser,3
open my computer application,4
hey can you open my computer for me,4
introduce yourself,5
who are you?,5
what was your name again?,5
what is your name?,5
who are you again?,5
give me your description,5
describe yourself,5
give me your introduction,5
who are you again?,5
open settings ,6
hey open windows settings for me,6
i want to change settings so open it,6
open settings app,6
open computer  settings,6
open windows settings,6
hey dude open settings ,6
open windows settings,7
i have to change some settings,6
open windows settings app,6
open skype,7
hey i want skype to open,7
i want to join a meeting ,7
i want to make a video call so open skype,7
can you open skype for me,7
video call time open skype,7
open google meet ,8
google meet open for me,8
meeting time open google meet,8
can you open google meet,8
open meeting app,8
hey open google meet ,8
open notepad,9
i have to take notes,9
i want to write something,9
open notepad,9
i want to write something,9
hey dude open notepad,9
open VSCode,10
i want to code,10
programming time,10
coding dude,10
open a editor for me,10
open a ide ,10
hey open a coding application,10
can you open VSCode,10
i want to do some programming,10
coding time ,10
delete my account,11
please delete my account,11
hey i want to delete my account,11
delete the account of mine,11
can you pop my account?,11
hey can you remove my account,11
delete account,11
can you remove my account?,11
tell me a jock,12
find a jock for me,12
find a jock and tell me,12
can you tell a jock?,12
search a best jock for me,12
dude destroy yourself,13
i don't need you any more so go,13
i do not need you any more  so destroy yourself,13
execute self-distruction,13
can you destroy yourself?,13
self-distruct galvin,13
self-distruct dude,13
self-distruct,13
go away,13
i don't need you any more so go,13
close your all programs,14
all programs close now,14
exit,14
dude stop,14
shutdown,14
you can close yourself now,14
system exit,14
now you can exit,14
my job is done. go,14
now you can go,14
stop execution,14
all programs stop now,14
stop,14
close yourself,14
i want to do some file operations,4
open disk,4
hey can you open my disk  for me,4
open my computer,4
what's the time,15
what time is it,15
time,15
now what time is it,15
what is my location ,16
where am i ?,16
tell me my location,16
my location,16
hey open command promt ,17
hey open cmd,17
open command promt,17
open cmd dude,17
